ghostnet_layer,mobilenetv2,mobilenetv3,shufflenetv2,resnet18
blocks.8.0.ghost1,,,,
blocks.8.0.ghost1.primary_conv,,,,
blocks.8.0.ghost1.primary_conv.0,,,,
blocks.8.0.ghost1.primary_conv.1,,,,
blocks.8.0.ghost1.primary_conv.2,,,,
blocks.8.0.ghost1.cheap_operation,,,,
blocks.8.0.ghost1.cheap_operation.0,,,,
blocks.8.0.ghost1.cheap_operation.1,,,,
blocks.8.0.ghost1.cheap_operation.2,,,,
blocks.8.0.ghost2,,,,
blocks.8.0.ghost2.primary_conv,,,,
blocks.8.0.ghost2.primary_conv.0,,,,
blocks.8.0.ghost2.primary_conv.1,,,,
blocks.8.0.ghost2.primary_conv.2,,,,
blocks.8.0.ghost2.cheap_operation,,,,
blocks.8.0.ghost2.cheap_operation.0,,,,
blocks.8.0.ghost2.cheap_operation.1,,,,
blocks.8.0.ghost2.cheap_operation.2,,,,
blocks.8.0.shortcut,,,,
blocks.8.1,,,,
blocks.8.1.ghost1,,,,
blocks.8.1.ghost1.primary_conv,,,,
blocks.8.1.ghost1.primary_conv.0,,,,
blocks.8.1.ghost1.primary_conv.1,,,,
blocks.8.1.ghost1.primary_conv.2,,,,
blocks.8.1.ghost1.cheap_operation,,,,
blocks.8.1.ghost1.cheap_operation.0,,,,
blocks.8.1.ghost1.cheap_operation.1,,,,
blocks.8.1.ghost1.cheap_operation.2,,,,
blocks.8.1.se,,,,
blocks.8.1.se.avg_pool,,,,
blocks.8.1.se.conv_reduce,,,,
blocks.8.1.se.act1,,,,
blocks.8.1.se.conv_expand,,,,
blocks.8.1.ghost2,,,,
blocks.8.1.ghost2.primary_conv,,,,
blocks.8.1.ghost2.primary_conv.0,,,,
blocks.8.1.ghost2.primary_conv.1,,,,
blocks.8.1.ghost2.primary_conv.2,,,,
blocks.8.1.ghost2.cheap_operation,,,,
blocks.8.1.ghost2.cheap_operation.0,,,,
blocks.8.1.ghost2.cheap_operation.1,,,,
blocks.8.1.ghost2.cheap_operation.2,,,,
blocks.8.1.shortcut,,,,
blocks.8.2,,,,
blocks.8.2.ghost1,,,,
blocks.8.2.ghost1.primary_conv,,,,
blocks.8.2.ghost1.primary_conv.0,,,,
blocks.8.2.ghost1.primary_conv.1,,,,
blocks.8.2.ghost1.primary_conv.2,,,,
blocks.8.2.ghost1.cheap_operation,,,,
blocks.8.2.ghost1.cheap_operation.0,,,,
blocks.8.2.ghost1.cheap_operation.1,,,,
blocks.8.2.ghost1.cheap_operation.2,,,,
blocks.8.2.ghost2,,,,
blocks.8.2.ghost2.primary_conv,,,,
blocks.8.2.ghost2.primary_conv.0,,,,
blocks.8.2.ghost2.primary_conv.1,,,,
blocks.8.2.ghost2.primary_conv.2,,,,
blocks.8.2.ghost2.cheap_operation,,,,
blocks.8.2.ghost2.cheap_operation.0,,,,
blocks.8.2.ghost2.cheap_operation.1,,,,
blocks.8.2.ghost2.cheap_operation.2,,,,
blocks.8.2.shortcut,,,,
blocks.8.3,,,,
blocks.8.3.ghost1,,,,
blocks.8.3.ghost1.primary_conv,,,,
blocks.8.3.ghost1.primary_conv.0,,,,
blocks.8.3.ghost1.primary_conv.1,,,,
blocks.8.3.ghost1.primary_conv.2,,,,
blocks.8.3.ghost1.cheap_operation,,,,
blocks.8.3.ghost1.cheap_operation.0,,,,
blocks.8.3.ghost1.cheap_operation.1,,,,
blocks.8.3.ghost1.cheap_operation.2,,,,
blocks.8.3.se,,,,
blocks.8.3.se.avg_pool,,,,
blocks.8.3.se.conv_reduce,,,,
blocks.8.3.se.act1,,,,
blocks.8.3.se.conv_expand,,,,
blocks.8.3.ghost2,,,,
blocks.8.3.ghost2.primary_conv,,,,
blocks.8.3.ghost2.primary_conv.0,,,,
blocks.8.3.ghost2.primary_conv.1,,,,
blocks.8.3.ghost2.primary_conv.2,,,,
blocks.8.3.ghost2.cheap_operation,,,,
blocks.8.3.ghost2.cheap_operation.0,,,,
blocks.8.3.ghost2.cheap_operation.1,,,,
blocks.8.3.ghost2.cheap_operation.2,,,,
blocks.8.3.shortcut,,,,
blocks.9,,,,
blocks.9.0,,,,
blocks.9.0.conv,,,,
blocks.9.0.bn1,,,,
blocks.9.0.act1,,,,
global_pool,,,,
conv_head,,,,
act2,,,,
classifier,,,,
