ghostnet_layer,mobilenetv2,mobilenetv3,shufflenetv2,resnet18
blocks.2.0,layers.4.layers.0.0,features.bottleneck_3.conv1.1,features.4.branch_main,layer4.0.relu
blocks.2.0.ghost1,layers.4.layers.0.1,features.bottleneck_3.conv1.2,features.4.branch_main.0,layer4.0.conv2
blocks.2.0.ghost1.primary_conv,layers.4.layers.1,features.bottleneck_3.conv2,features.4.branch_main.1,layer4.0.bn2
blocks.2.0.ghost1.primary_conv.0,layers.4.layers.1.0,features.bottleneck_3.conv2.0,features.4.branch_main.2,layer4.0.downsample
blocks.2.0.ghost1.primary_conv.1,layers.4.layers.1.1,features.bottleneck_3.conv2.1,features.4.branch_main.3,layer4.0.downsample.0
blocks.2.0.ghost1.primary_conv.2,layers.4.layers.1.2,features.bottleneck_3.conv2.2,features.4.branch_main.4,layer4.0.downsample.1
blocks.2.0.ghost1.cheap_operation,layers.4.layers.2,features.bottleneck_3.se,features.4.branch_main.5,layer4.1
blocks.2.0.ghost1.cheap_operation.0,layers.4.layers.2.0,features.bottleneck_3.se.avg_pool,features.4.branch_main.6,layer4.1.conv1
blocks.2.0.ghost1.cheap_operation.1,layers.4.layers.2.1,features.bottleneck_3.se.fc,features.4.branch_main.7,layer4.1.bn1
blocks.2.0.ghost1.cheap_operation.2,layers.5,features.bottleneck_3.se.fc.0,features.4.branch_proj,layer4.1.relu
blocks.2.0.ghost2,layers.5.layers,features.bottleneck_3.se.fc.1,features.4.branch_proj.0,layer4.1.conv2
blocks.2.0.ghost2.primary_conv,layers.5.layers.0,features.bottleneck_3.se.fc.2,features.4.branch_proj.1,layer4.1.bn2
blocks.2.0.ghost2.primary_conv.0,layers.5.layers.0.0,features.bottleneck_3.se.fc.3,features.4.branch_proj.2,avg_pool
blocks.2.0.ghost2.primary_conv.1,layers.5.layers.0.1,features.bottleneck_3.conv3,features.4.branch_proj.3,fc
blocks.2.0.ghost2.primary_conv.2,layers.5.layers.1,features.bottleneck_3.conv3.0,features.4.branch_proj.4,
blocks.2.0.ghost2.cheap_operation,layers.5.layers.1.0,features.bottleneck_3.conv3.1,features.5,
blocks.2.0.ghost2.cheap_operation.0,layers.5.layers.1.1,features.bottleneck_4,features.5.branch_main,
blocks.2.0.ghost2.cheap_operation.1,layers.5.layers.1.2,features.bottleneck_4.conv1,features.5.branch_main.0,
blocks.2.0.ghost2.cheap_operation.2,layers.5.layers.2,features.bottleneck_4.conv1.0,features.5.branch_main.1,
blocks.2.0.shortcut,layers.5.layers.2.0,features.bottleneck_4.conv1.1,features.5.branch_main.2,
blocks.3,layers.5.layers.2.1,features.bottleneck_4.conv1.2,features.5.branch_main.3,
blocks.3.0,layers.6,features.bottleneck_4.conv2,features.5.branch_main.4,
blocks.3.0.ghost1,layers.6.layers,features.bottleneck_4.conv2.0,features.5.branch_main.5,
blocks.3.0.ghost1.primary_conv,layers.6.layers.0,features.bottleneck_4.conv2.1,features.5.branch_main.6,
blocks.3.0.ghost1.primary_conv.0,layers.6.layers.0.0,features.bottleneck_4.conv2.2,features.5.branch_main.7,
blocks.3.0.ghost1.primary_conv.1,layers.6.layers.0.1,features.bottleneck_4.se,features.6,
blocks.3.0.ghost1.primary_conv.2,layers.6.layers.1,features.bottleneck_4.se.avg_pool,features.6.branch_main,
blocks.3.0.ghost1.cheap_operation,layers.6.layers.1.0,features.bottleneck_4.se.fc,features.6.branch_main.0,
blocks.3.0.ghost1.cheap_operation.0,layers.6.layers.1.1,features.bottleneck_4.se.fc.0,features.6.branch_main.1,
blocks.3.0.ghost1.cheap_operation.1,layers.6.layers.1.2,features.bottleneck_4.se.fc.1,features.6.branch_main.2,
blocks.3.0.ghost1.cheap_operation.2,layers.6.layers.2,features.bottleneck_4.se.fc.2,features.6.branch_main.3,
blocks.3.0.conv_dw,layers.6.layers.2.0,features.bottleneck_4.se.fc.3,features.6.branch_main.4,
blocks.3.0.bn_dw,layers.6.layers.2.1,features.bottleneck_4.conv3,features.6.branch_main.5,
blocks.3.0.se,layers.7,features.bottleneck_4.conv3.0,features.6.branch_main.6,
blocks.3.0.se.avg_pool,layers.7.layers,features.bottleneck_4.conv3.1,features.6.branch_main.7,
blocks.3.0.se.conv_reduce,layers.7.layers.0,features.bottleneck_5,features.7,
blocks.3.0.se.act1,layers.7.layers.0.0,features.bottleneck_5.conv1,features.7.branch_main,
blocks.3.0.se.conv_expand,layers.7.layers.0.1,features.bottleneck_5.conv1.0,features.7.branch_main.0,
blocks.3.0.ghost2,layers.7.layers.1,features.bottleneck_5.conv1.1,features.7.branch_main.1,
blocks.3.0.ghost2.primary_conv,layers.7.layers.1.0,features.bottleneck_5.conv1.2,features.7.branch_main.2,
blocks.3.0.ghost2.primary_conv.0,layers.7.layers.1.1,features.bottleneck_5.conv2,features.7.branch_main.3,
blocks.3.0.ghost2.primary_conv.1,layers.7.layers.1.2,features.bottleneck_5.conv2.0,features.7.branch_main.4,
blocks.3.0.ghost2.primary_conv.2,layers.7.layers.2,features.bottleneck_5.conv2.1,features.7.branch_main.5,
blocks.3.0.ghost2.cheap_operation,layers.7.layers.2.0,features.bottleneck_5.conv2.2,features.7.branch_main.6,
blocks.3.0.ghost2.cheap_operation.0,layers.7.layers.2.1,features.bottleneck_5.se,features.7.branch_main.7,
blocks.3.0.ghost2.cheap_operation.1,layers.8,features.bottleneck_5.se.avg_pool,features.8,
blocks.3.0.ghost2.cheap_operation.2,layers.8.layers,features.bottleneck_5.se.fc,features.8.branch_main,
blocks.3.0.shortcut,layers.8.layers.0,features.bottleneck_5.se.fc.0,features.8.branch_main.0,
blocks.3.0.shortcut.0,layers.8.layers.0.0,features.bottleneck_5.se.fc.1,features.8.branch_main.1,
blocks.3.0.shortcut.1,layers.8.layers.0.1,features.bottleneck_5.se.fc.2,features.8.branch_main.2,
blocks.3.0.shortcut.2,layers.8.layers.1,features.bottleneck_5.se.fc.3,features.8.branch_main.3,
blocks.3.0.shortcut.3,layers.8.layers.1.0,features.bottleneck_5.conv3,features.8.branch_main.4,
blocks.4,layers.8.layers.1.1,features.bottleneck_5.conv3.0,features.8.branch_main.5,
blocks.4.0,layers.8.layers.1.2,features.bottleneck_5.conv3.1,features.8.branch_main.6,
blocks.4.0.ghost1,layers.8.layers.2,features.bottleneck_6,features.8.branch_main.7,
blocks.4.0.ghost1.primary_conv,layers.8.layers.2.0,features.bottleneck_6.conv1,features.9,
blocks.4.0.ghost1.primary_conv.0,layers.8.layers.2.1,features.bottleneck_6.conv1.0,features.9.branch_main,
blocks.4.0.ghost1.primary_conv.1,layers.9,features.bottleneck_6.conv1.1,features.9.branch_main.0,
blocks.4.0.ghost1.primary_conv.2,layers.9.layers,features.bottleneck_6.conv1.2,features.9.branch_main.1,
blocks.4.0.ghost1.cheap_operation,layers.9.layers.0,features.bottleneck_6.conv2,features.9.branch_main.2,
blocks.4.0.ghost1.cheap_operation.0,layers.9.layers.0.0,features.bottleneck_6.conv2.0,features.9.branch_main.3,
blocks.4.0.ghost1.cheap_operation.1,layers.9.layers.0.1,features.bottleneck_6.conv2.1,features.9.branch_main.4,
blocks.4.0.ghost1.cheap_operation.2,layers.9.layers.1,features.bottleneck_6.conv2.2,features.9.branch_main.5,
